,text_similarity,text1,text2,tarun cut?,tarun notes,bria notes,martin notes,aoa_word1,aoa_word2,image_similarity,source,image1,image2,aoa_source,filename
30,0.7065,bus,washcloth,cut,,,washcloth also used above; not sure about washcloth recognizability,3.85,4.17,0.5234,exp2,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/bus.jpg,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/washcloth.jpg,Kuperman,https://ucsdlearninglabs.org/all_stimuli/vvi_exp2_images/bus_washcloth.png
37,0.683,lizard,peacock,cut,,,avoid; peacock is extremely visually interesting while lizard is very bland,5.42,5.76,0.65,exp2,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/lizard.jpg,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/peacock.jpg,Kuperman,https://ucsdlearninglabs.org/all_stimuli/vvi_exp2_images/lizard_peacock.png
51,0.797,pencil,broom,cut,,,avoid; broom is not focused in the scene enough,2.16,2.01,0.7095,exp2,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/pencil.jpg,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/broom.jpg,Wordbank,https://ucsdlearninglabs.org/all_stimuli/vvi_exp2_images/pencil_broom.png
39,0.7153,seahorse,shark,cut,reused seahorse,,good,5.83,5.47,0.7676,exp2,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/seahorse.jpg,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/shark.jpg,Kuperman,https://ucsdlearninglabs.org/all_stimuli/vvi_exp2_images/seahorse_shark.png
49,0.728,seahorse,pony,cut,,,very atypical pony but maybe fine; interesting discrepancy between text and image similarity,5.83,5.39,0.6514,exp2,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/seahorse.jpg,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/pony.jpg,Kuperman,https://ucsdlearninglabs.org/all_stimuli/vvi_exp2_images/seahorse_pony.png
50,0.725,truck,swing,cut,,,vehicle pairing with non-vehicle would be atypical (but maybe fine for us),3.79,4.16,0.5415,exp2,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/truck.jpg,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/swing.jpg,Kuperman,https://ucsdlearninglabs.org/all_stimuli/vvi_exp2_images/truck_swing.png
21,0.864,ball,rock,cut,,,"ball will probably be more salient, should avoid having ball and balloon in the same set",2.9,3.22,0.6978,exp2,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/ball.jpg,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/rock.jpg,Kuperman,https://ucsdlearninglabs.org/all_stimuli/vvi_exp2_images/ball_rock.png
22,0.759,ball,toothpaste,cut,,,"ball will probably be much more salient, should avoid having ball and balloon in the same set",2.9,3.33,0.5186,exp2,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/ball.jpg,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/toothpaste.jpg,Kuperman,https://ucsdlearninglabs.org/all_stimuli/vvi_exp2_images/ball_toothpaste.png
45,0.8496,bed,bathtub,cut,cut if we decide to use other bathtub example,,bed could be better/ clearer (not sure hotel bed is best match) but pretty good,2.89,3.22,0.7603,exp2,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/bed.jpg,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/bathtub.jpg,Kuperman,https://ucsdlearninglabs.org/all_stimuli/vvi_exp2_images/bed_bathtub.png
11,0.7607421875,potato,glasses,,,,,4.84,4.346085,0.5395507813,exp1,NA,NA,NA,https://ucsdlearninglabs.org/all_stimuli/
14,0.8198242188,potato,pot,,,,,4.84,5.95,0.583984375,exp1,NA,NA,NA,https://ucsdlearninglabs.org/all_stimuli/
2,0.8159179688,squirrel,eagle,,,,,4.44,5.83,0.6640625,exp1,NA,NA,NA,https://ucsdlearninglabs.org/all_stimuli/
12,0.87109375,squirrel,monkey,,,,,4.44,4.21,0.6840820313,exp1,NA,NA,NA,https://ucsdlearninglabs.org/all_stimuli/
71,0.752,bed,toothbrush,cut,,,"bathtub and bed images are much more visually ""noisy"" - toothbrush is an isolated object, the others have much more surrounding context",1.74,1.82,0.5835,exp2,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/bed.jpg,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/toothbrush.jpg,Wordbank,https://ucsdlearninglabs.org/all_stimuli/vvi_exp2_images/bed_toothbrush.png
42,0.775,fork,slide,cut,,,good,1.84,2.01,0.6455,exp2,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/fork.jpg,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/slide.jpg,Wordbank,https://ucsdlearninglabs.org/all_stimuli/vvi_exp2_images/fork_slide.png
4,0.9052734375,cheese,butter,,,,,4.33,5.78,0.8427734375,exp1,NA,NA,NA,https://ucsdlearninglabs.org/all_stimuli/
9,0.7846679688,cheese,mud,,,,,4.33,4.05,0.4506835938,exp1,NA,NA,NA,https://ucsdlearninglabs.org/all_stimuli/
13,0.8344726563,turtle,horse,,,,,4.17,4.15,0.6337890625,exp1,NA,NA,NA,https://ucsdlearninglabs.org/all_stimuli/
16,0.88671875,turtle,frog,,,,,4.17,4.32,0.7397460938,exp1,NA,NA,NA,https://ucsdlearninglabs.org/all_stimuli/
43,0.917,fork,spoon,cut,,,good (multiple spoons but fine); multiple spoons compared to one fork is not ideal,1.84,1.72,0.8267,exp2,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/fork.jpg,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/spoon.jpg,Wordbank,https://ucsdlearninglabs.org/all_stimuli/vvi_exp2_images/fork_spoon.png
5,0.8549804688,turkey,swan,,,,,3.95,6.31763,0.7270507813,exp1,NA,NA,NA,https://ucsdlearninglabs.org/all_stimuli/
7,0.8374023438,turkey,goat,,,,,3.95,5.21,0.7241210938,exp1,NA,NA,NA,https://ucsdlearninglabs.org/all_stimuli/
72,0.7886,pencil,cup,cut,,,kind of odd that pencil and cup have high similarity (?!),3.57,4.06,0.706,exp2,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/pencil.jpg,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/cup.jpg,Kuperman,https://ucsdlearninglabs.org/all_stimuli/vvi_exp2_images/pencil_cup.png
46,0.629,pencil,bib,cut,,,good,4.06,4.53,0.5605,exp2,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/pencil.jpg,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/bib.jpg,Kuperman,https://ucsdlearninglabs.org/all_stimuli/vvi_exp2_images/pencil_bib.png
44,0.647,flashlight,bathmat,cut,,,borderline; don't love that the backgrounds differ so much in lightness/ darkness; hard to tell this is a bathmat because there's not enough bathroom context - but maybe fine?,5.61,5.83,0.6113,exp2,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/flashlight.jpg,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/bathmat.jpg,Kuperman,https://ucsdlearninglabs.org/all_stimuli/vvi_exp2_images/flashlight_bathmat.png
69,0.92,bus,train,borderline,train and firetruck also look similar,,,3.85,4,0.5933,exp2,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/bus.jpg,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/train.jpg,Kuperman,https://ucsdlearninglabs.org/all_stimuli/vvi_exp2_images/bus_train.png
70,0.854,bus,firetruck,borderline,bus and firetruck are still very similar but image similarity differences are interesting,,,3.85,3.69,0.4727,exp2,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/bus.jpg,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/firetruck.jpg,Kuperman,https://ucsdlearninglabs.org/all_stimuli/vvi_exp2_images/bus_firetruck.png
36,0.869,flashlight,lightbulb,borderline,,,good,5.61,5.89,0.715,exp2,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/flashlight.jpg,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/lightbulb.jpg,Kuperman,https://ucsdlearninglabs.org/all_stimuli/vvi_exp2_images/flashlight_lightbulb.png
,0.7217,flashlight,piano,borderline,,,,5.61,5.5,0.5264,exp2,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/flashlight.jpg,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/piano.jpg,Kuperman,https://ucsdlearninglabs.org/all_stimuli/vvi_exp2_images/flashlight_piano.png
25,0.7217,bathtub,sock,,,,"good; socks could be more colorful but when paired with bathtub, grey is probably good to reduce salience difference",3.22,2.94,0.6123,exp2,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/bathtub.jpg,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/sock.jpg,Kuperman,https://ucsdlearninglabs.org/all_stimuli/vvi_exp2_images/bathtub_sock.png
40,0.8184,bathtub,shower,,,,hard; also use bathtub below,1.85,2.01,0.834,exp2,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/bathtub.jpg,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/shower.jpg,Wordbank,https://ucsdlearninglabs.org/all_stimuli/vvi_exp2_images/bathtub_shower.png
23,0.695,balloon,dresser,,,,"good, should avoid having ball and balloon in the same set",4.37,4.28,0.5127,exp2,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/balloon.jpg,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/dresser.jpg,Kuperman,https://ucsdlearninglabs.org/all_stimuli/vvi_exp2_images/balloon_dresser.png
24,0.8105,balloon,kite,,,,"good, should avoid having ball and balloon in the same set",4.37,4.58,0.723,exp2,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/balloon.jpg,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/kite.jpg,Kuperman,https://ucsdlearninglabs.org/all_stimuli/vvi_exp2_images/balloon_kite.png
31,0.8604,camel,elephant,,,,good,5.11,4.8,0.7266,exp2,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/camel.jpg,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/elephant.jpg,Kuperman,https://ucsdlearninglabs.org/all_stimuli/vvi_exp2_images/camel_elephant.png
32,0.6914,camel,ladybug,,,,"ok, red ladybug is probably more eye-catching",5.11,4.84,0.673,exp2,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/camel.jpg,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/ladybug.jpg,Kuperman,https://ucsdlearninglabs.org/all_stimuli/vvi_exp2_images/camel_ladybug.png
33,0.783,cloud,tree,,,,"good; there's a lot of sky in the tree pic, but maybe that's good",3.63,3.57,0.8687,exp2,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/cloud.jpg,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/tree.jpg,Kuperman,https://ucsdlearninglabs.org/all_stimuli/vvi_exp2_images/cloud_tree.png
41,0.709,cloud,zipper,,,,good,2.1,2.08,0.655,exp2,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/cloud.jpg,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/zipper.jpg,Wordbank,https://ucsdlearninglabs.org/all_stimuli/vvi_exp2_images/cloud_zipper.png
34,0.8384,crow,penguin,,,,"good, but hard!",5.74,5.68,0.704,exp2,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/crow.jpg,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/penguin.jpg,Kuperman,https://ucsdlearninglabs.org/all_stimuli/vvi_exp2_images/crow_penguin.png
35,0.6406,crow,seahorse,,,,good - careful not to reuse seahorse if chosen below??,5.74,5.83,0.593,exp2,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/crow.jpg,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/seahorse.jpg,Kuperman,https://ucsdlearninglabs.org/all_stimuli/vvi_exp2_images/crow_seahorse.png
48,0.9067,duck,chicken,,,,good,3.5,3.26,0.735,exp2,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/duck.jpg,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/chicken2.jpg,Kuperman,https://ucsdlearninglabs.org/all_stimuli/vvi_exp2_images/duck_chicken.png
68,0.815,duck,butterfly,,,,,3.67,3.5,0.678,exp2,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/duck.jpg,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/butterfly.jpg,Kuperman,https://ucsdlearninglabs.org/all_stimuli/vvi_exp2_images/duck_butterfly.png
61,0.696,lizard,walrus,,,,,5.42,5.06,0.596,exp2,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/lizard.jpg,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/walrus.jpg,Kuperman,https://ucsdlearninglabs.org/all_stimuli/vvi_exp2_images/lizard_walrus.png
38,0.91,lizard,snake,,,,perspective on the lizard really emphasizes snake-like tail,5.42,5.1,0.8027,exp2,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/lizard.jpg,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/snake.jpg,Kuperman,https://ucsdlearninglabs.org/all_stimuli/vvi_exp2_images/lizard_snake.png
47,0.9194,truck,car,,,,good,3.79,3.37,0.4175,exp2,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/truck.jpg,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/car.jpg,Kuperman,https://ucsdlearninglabs.org/all_stimuli/vvi_exp2_images/truck_car.png
67,0.8374,truck,airplane,,,,,3.94,3.79,0.619,exp2,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/truck.jpg,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/airplane.jpg,Kuperman,https://ucsdlearninglabs.org/all_stimuli/vvi_exp2_images/truck_airplane.png
,,,,,,,,,,,,,,,
alt choices,0.851,goose,seagull,cut,,,probably want to avoid the number difference here,5.15,5.42,0.781,exp2,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/goose.jpg,,,
,0.6826,goose,ladybug,cut,,,probably want to avoid the number difference here,5.15,4.84,0.69,exp2,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/goose.jpg,,,
,,,,,,,,,,,,,,,
,0.8887,blanket,towel,cut,,,tough perspective for recognizing towels; hard to recognize blanket,3.61,3.22,0.6694,exp2,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/blanket.jpg,,,
,0.6875,blanket,highchair,cut,,,hard to recognize blanket,3.61,3.79,0.647,exp2,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/blanket.jpg,,,
,,,,,,,,,,,,,,,
,,sunglasses,,,,,,,,,,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/sunglasses.jpg,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,leaf,wood,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,basket,bucket,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,beaver,seal,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,bear,pig,,,,,,,,,,,,
